id_registo,data_registo,unidade_organizacional,tipo_servico,indicador_si,taxa_resolucao,tempo_resposta,satisfacao_cidadao,volume_interacoes,canal_utilizado,taxa_abandono,erros_tecnicos,transparencia,feedback_cidadao,segmentacao_utilizador,area_tematica,indicador_kpi
162,2024-03-02,Departamento de Inovação e Digitalização,Atendimento Presencial,83.77,96.27,49,3.9,101,portal,16.67,2,Sim,Sistema lento,Reforma/Pensionista,Saúde,57.58
163,2024-05-13,Departamento de Inovação e Digitalização,Balcão Único,75.24,75.07,20,4.7,362,chatbot,14.43,6,Sim,Precisa melhorias,Utilizador Vulnerável,Ambiente,51.55
164,2024-10-10,Serviços de TI,Balcão Único,98.8,71.86,118,4.7,68,chatbot,8.71,4,Sim,Precisa melhorias,Utilizador Vulnerável,Ambiente,98.54
165,2024-01-28,Departamento de Saúde Pública,Balcão Único,93.68,90.75,86,3.6,68,presencial,3.98,1,Sim,Resposta rápida e eficaz,Reforma/Pensionista,Ambiente,88.68
166,2024-04-17,Serviços de TI,Email,93.53,86.09,92,4.7,313,chatbot,15.12,2,Sim,Resposta rápida e eficaz,Funcionário Público,Inovação,99.01
167,2024-02-13,Serviços de TI,Telefone,78.75,93.57,63,3.1,178,aplicacao_movel,7.95,9,Não,Processo complicado,Estudante,Ambiente,73.89
168,2024-12-05,Serviços de TI,Email,76.59,73.91,61,4.2,278,aplicacao_movel,21.66,5,Não,Processo complicado,Cidadão,Social,76.61
169,2024-10-12,Serviços de TI,Portal Online,70.94,92.27,104,3.5,372,aplicacao_movel,24.83,12,Não,Excelente atendimento,Empresa,Educação,58.42
170,2024-11-26,Serviços de TI,Portal Online,62.26,75.65,49,3.2,54,presencial,18.81,6,Não,Processo complicado,Utilizador Vulnerável,Ambiente,62.35
171,2024-05-07,Departamento de Planeamento Estratégico,Telefone,94.59,74.58,71,3.2,354,presencial,2.26,8,Sim,Falta de informação,Empresa,Habitação,91.93
172,2024-12-13,Departamento de Inovação e Digitalização,Serviços Digitais,92.52,74.6,1,4.4,190,chatbot,7.22,0,Sim,Precisa melhorias,Cidadão,Habitação,67.81
173,2024-08-18,Serviços de TI,Email,99.99,92.81,96,3.7,179,email,2.73,10,Sim,Serviço eficiente,Empresa,Inovação,91.34
174,2024-07-08,Serviços de Educação,Atendimento Presencial,99.87,88.63,13,4.4,365,email,16.26,6,Sim,Falta de informação,Cidadão,Social,85.45
175,2024-08-12,Departamento de Inovação e Digitalização,Balcão Único,82.22,84.65,94,3.1,200,presencial,19.13,7,Não,Muito satisfeito,Reforma/Pensionista,Educação,58.86
176,2024-10-09,Departamento de Inovação e Digitalização,Balcão Único,90.76,80.05,87,3.6,164,chatbot,23.14,11,Sim,Sistema lento,Funcionário Público,Saúde,75.37
177,2024-04-30,Direcção de Serviços Financeiros,Telefone,97.79,94.56,51,4.1,431,email,10.95,13,Não,Processo complicado,Utilizador Vulnerável,Cultura,83.87
178,2024-04-25,Departamento de Planeamento Estratégico,Serviços Digitais,93.99,80.99,56,4.6,197,chatbot,22.53,2,Sim,Sistema lento,Cidadão,Educação,61.75
179,2024-08-20,Serviços de TI,Portal Online,69.89,92.86,83,3.6,16,chatbot,21.95,3,Sim,Bom serviço,Empresa,Cultura,91.53
180,2024-09-15,Direcção de Recursos Humanos,Portal Online,78.02,82.3,62,4.3,142,chatbot,7.93,9,Sim,Excelente atendimento,Utilizador Vulnerável,Mobilidade,77.24
181,2024-12-24,Gabinete de Atendimento ao Cidadão,Balcão Único,65.17,80.55,32,4.8,244,telefone,21.72,5,Não,Bom serviço,Funcionário Público,Cultura,58.26
182,2024-07-16,Departamento de Saúde Pública,Telefone,98.16,82.96,30,4.2,54,aplicacao_movel,9.39,9,Sim,Excelente atendimento,Reforma/Pensionista,Digitalização,79.15
183,2024-05-16,Serviços de Educação,Email,84.25,78.44,29,3.5,323,chatbot,7.42,6,Sim,Resposta rápida e eficaz,Utilizador Vulnerável,Habitação,99.99
184,2024-11-13,Direcção de Recursos Humanos,Portal Online,69.15,90.93,49,3.0,258,telefone,16.23,12,Sim,Sistema lento,Cidadão,Social,57.53
185,2024-06-13,Departamento de Planeamento Estratégico,Email,86.87,84.08,45,4.7,40,presencial,8.21,13,Sim,Excelente atendimento,Funcionário Público,Inovação,90.84
186,2024-08-12,Gabinete de Atendimento ao Cidadão,Serviços Digitais,84.73,76.5,93,3.0,32,email,15.76,3,Sim,Tempo de espera elevado,Empresa,Digitalização,60.37
187,2024-11-02,Departamento de Planeamento Estratégico,Portal Online,74.33,95.19,30,4.7,435,aplicacao_movel,15.25,7,Sim,Falta de informação,Funcionário Público,Cultura,89.12
188,2024-08-21,Serviços de Educação,Portal Online,64.54,80.75,16,4.1,403,email,14.09,4,Sim,Excelente atendimento,Funcionário Público,Ambiente,86.73
189,2024-06-20,Departamento de Inovação e Digitalização,Chatbot,86.86,85.22,40,4.9,169,aplicacao_movel,9.51,0,Sim,Excelente atendimento,Estudante,Social,65.02
190,2024-05-31,Gabinete de Atendimento ao Cidadão,Portal Online,80.81,95.38,19,4.6,372,email,13.71,3,Sim,Falta de informação,Funcionário Público,Digitalização,66.29
191,2024-11-10,Departamento de Inovação e Digitalização,Atendimento Presencial,90.89,87.48,18,5.0,446,aplicacao_movel,14.91,2,Sim,Sistema lento,Funcionário Público,Inovação,89.63
192,2024-06-08,Serviços de Educação,Telefone,80.81,73.27,1,3.7,167,email,13.64,8,Sim,Sistema lento,Utilizador Vulnerável,Habitação,73.07
193,2024-04-05,Direcção de Recursos Humanos,Telefone,94.09,96.32,78,4.5,48,email,11.11,7,Sim,Falta de informação,Empresa,Social,86.54
194,2024-08-20,Serviços de Educação,Email,82.08,87.58,115,3.8,424,email,0.37,0,Sim,Bom serviço,Utilizador Vulnerável,Inovação,57.4
195,2024-06-28,Direcção de Recursos Humanos,Serviços Digitais,82.44,79.38,47,4.0,91,email,14.68,10,Sim,Tempo de espera elevado,Utilizador Vulnerável,Mobilidade,92.63
196,2024-04-22,Gabinete de Atendimento ao Cidadão,Portal Online,95.07,73.9,114,4.3,365,presencial,4.21,5,Não,Serviço eficiente,Cidadão,Mobilidade,85.54
197,2024-11-13,Gabinete de Atendimento ao Cidadão,Atendimento Presencial,76.14,92.23,66,4.7,267,chatbot,16.06,8,Sim,Muito satisfeito,Utilizador Vulnerável,Inovação,95.35
198,2024-02-21,Serviços de TI,Email,65.36,87.36,118,5.0,215,portal,18.98,6,Sim,Tempo de espera elevado,Estudante,Digitalização,56.62
199,2024-09-24,Departamento de Planeamento Estratégico,Chatbot,61.15,84.94,92,4.5,86,telefone,12.51,3,Sim,Sistema lento,Estudante,Social,79.65
200,2024-10-21,Serviços de TI,Email,90.21,95.03,113,3.8,486,portal,13.56,12,Sim,Serviço eficiente,Cidadão,Digitalização,79.96
